179,231,NULL,Provides food weekly to people in need. Limited service area.,Wed 9am-noon ET,Living within boundaries: N-21st St.; S-Washington St.; E-Emerson Ave.; W-Rural St.,Walk in during pantry hours; use the rear entrance to access the pantry.,* State-issued photo ID* Recent business mail! (such as a utility bill),N-21st St.; S-Washington St.; E-Emerson Ave.; W-Rural St. in the city of Indianapolis in Marion County
8701,8212,CHRIST'S STOREHOUSE,Provides perishable and nonperishable food and hygiene supplies to persons in need. Clients may visit each week. Limited service area.,Tues noon-2pm ET,Living in zip codes 46220 or 46240 in Marion County,Walk in during pantry hours; go to back of building.,* Photo ID* Proof of address (such as recent utility bill),NULL
8703,8213,NULL,Provides nonperishable food to persons in need. Open service area.,Wed noon-2pm ET,Open; limit one visit every 30 days,Walk in; use the west entrance.,* Photo ID* Proof of address (lease or official mail with postmark date less than 60 days old),Marion County
2383,8283,RAINBOW HOUSE,Provides nonperishable food to persons in need. Fresh produce is sometimes available. Limited service area.,Thurs 9am-noon ET,* Living in zip code 46202 or 46208* Limit of one visit every other week,Walk in.,Proof of address (such as recent mail with name and current address),46202 and 46208
8862,8284,FBC COMMUNITY FOOD PANTRY,Provides nonperishable food once each month to persons in need. Limited service area.,Monthly last Tues 4pm-6pm ET,Living in Marion County,Walk in; use entrance on the west side of the church! door number 3.,* Photo ID* Proof of address (driver's license or recent utility bill),Marion County
8869,8286,THE LORD'S PANTRY AT ANNA'S HOUSE,Provides nonperishable food to persons in need. Limited service area. Accepts donations for the food pantry and other outreach programs.,Registration: Sat 8:30am-10:30am ETFood Distribution: Sat 10:30am-noon ET,Living within boundaries: N-12th St; S-Washington St; E-White River Pkwy; W-Holmes Ave,Walk in and register.,* ID for everyone in the household* Recent utility bill * Recent copy of SNAP or Medicaid award letter! if applicable* Proof of all children in household! (report card! birth certificate! social security card]),NULL
8871,8287,COMMUNITY FOOD PANTRY,Provides fresh and nonpershiable food once each month to persons in need. Limited service area.,Monthly 3rd Tues 11am-1pm ET,Living in Marion County,Walk in during pantry hours.,Photo ID,NULL
8873,8288,FISHES AND LOAVES,Provides food to persons in need. Limited service area.,Monthly 3rd Tues 10am-noon and 6pm-8pm ET,Open,Walk in.,* Photo ID for household members 18 and older* Proof of address* Social security numbers for all household members,Open service area
8875,8289,NULL,Provides food to persons in need. Limited service area. The pantry may be used once within a 30-day period.,Monthly 1st and 3rd Tues 1pm-5pm ET,NULL,,NULL,NULL
18332,16013,ANDREW'S HARVEST,Provides food and toiletries to persons in need. Service is limited to once every 30 days with a maximum of six visits per year. Limited service area.,Thurs 9am-11am ET (serves first 50 people),* Living in zip codes 46217! 46221! 46227! and 46237 in Marion County     or 46142 and 46143 in Johnson County* Not used this pantry within the past 30 days (maximum of 6 visits per year),Walk in; serves first 50 people.,* Photo ID* Current utility bill or official mail with name and address,NULL
18356,16060,NULL,Provides five days of food to families in need. Limited service area.,Thurs 1pm-6:30pm ET,* Living in the following boundaries in Marion County: N- Washington St.; S-County Line Rd.;   W-Emerson Ave.; E-Carroll Rd./County Line Rd.  -OR- Northwestern Consolidated School District in Shelby County  -OR- Beech Grove* Not used this pantry within the current month,Walk in; pantry is in the house next to New Bethel Baptist Church.,* Photo ID (preferably a driver's license or state ID)* Proof of current address (such as a utility bill less than 30 days old),NULL
18641,16288,FEED MY SHEEP,Offers a food pantry! open to all in need after attending church service. Selection varies based on donations. Open service area.,Church Service: Sun 11:30am ET! (food is provided after the service.),Attend Sunday service at this church,Walk in to attend church service; food is provided after the service.,* Photo ID* Proof of address (utility bill preferred),Marion County
22446,19285,NULL,Provides food to persons in need. Limited service area.,Fri 9am-noon ET (or before if food is gone),* Living in Hendricks County or west of Meridian Street in Marion County* Limit one visit per month,Walk in; complete intake form at each visit.,* Valid photo ID* Proof of address (such as recent mail)* Social security cards or Medicaid cards for everyone in the household,NULL
22450,19290,NULL,Provides nonperishable food for persons in need. Limited service area.,Pantry: Tues and Thurs 10am-noon ET Office: Mon-Fri 10am-4pm ET,* Living east of Meridian Street in Marion County* Not used this pantry within the past 30 days,Call for availability before visiting pantry.,* Valid photo ID* Proof of address (prefer copy of lease or utility bill),East of Meridian Street in Marion County
22783,19647,NULL,Provides perishable and nonperishable food to persons in need. Household items are also available including! bedding! towels! small kitchenware! cleaning supplies! hygiene supplies! and toys. Limited service area.,Tues 11am-1pm; Thurs noon-2pm; Sat 11am-1pm ET,* Living in zip code 46201! 46202! 46203! 46218! or 46222* Low-income/financial need,Walk in during pantry hours; food pantry go into the front of the Thrift Storeis outside around the back of the building at Door 5.,* ID for all household members (photo ID for adults; birth certificate!    Social Security card! school records accepted for children)* Proof of current address if different from photo ID (recent mail with name and address)* If possible! bring bags for carrying groceries home.,NULL
22862,19755,NULL,Provides perishable and nonperishable food and toiletries to people in need. Open service area.,Tues 7:30pm-8pm; Sun 11am-noon; monthly 1st Sat noon-2pm ET,Open,Walk in.,Some form of ID,Marion County
23312,20360,NULL,Provides perishable and nonperishable food to persons in need through a monthly pantry. Open service area.,Monthly on select Tues 10am-2pm ET  For 2018: Jan 30! Feb 27! March 27! April 24! May 22! June 26                 July 31! Aug 28! Sept 25! Oct 23! Nov 13! and Dec 18,Open,Walk in; use Door 3.,* Photo ID* Proof of address,Hendricks and Marion County
5207,22261,GOODWIN FOOD PANTRY,Provides food for persons in need. Limited service area.,Tues noon-2pm ET,* Living in Decatur Township! (N-Troy Ave.; S-County Line Rd.; E-White River; W-Raceway Rd.)* Not received food 5 times within the past 12 months (exception made for persons with disabilities    -OR- age 55 or older),Walk in during pantry hours.,* Photo ID* Proof of address (if different from address on ID),Decatur Township in Marion County
26683,23473,ICAN FOOD PANTRY,Offers food to persons in need. Limited service area; one visit per month.,Thurs 1pm-3pm ET,* Living in zip code 46219* Not used this pantry during the current month,Walk in; use the Hibbon Street door by the church parking lot.,Proof of address (such as photo ID or a recent utility bill),46219
1541,23565,NULL,Provides food to persons in need. Limited service area.,Mon and Thurs 8am-noon ET,* Living within boundaries: N-30th St.; S-10th St.; E-Keystone Ave.; W-Central Ave.* Limit one visit per month,Walk in; calling ahead is recommended to confirm food is available.,* Photo ID* Proof of address (such as recent piece of mail with name and address),N-30th St.; S-10th St.; E-Keystone Ave.; W-Central Ave. in the city of Indianapolis in Marion County
27064,23777,NULL,Offers food to persons in need. Limited service area; will serve from outside boundaries one time.,Monthly 2nd Sat noon-until food runs out,Open,Walk in.,Photo ID,NULL
882,24386,BOULEVARD PLACE FOOD PANTRY,Provides food for people in need. Limited service area.,Mon and Thurs 8:30-10:30am and 2pm-4pm ETWed 8:30am-10:30am and 5:30pm-7:30pm ETFri 8:30am-10:30am; Sat 9am-noon ET,* Living within boundaries: N-96th St.; S-34th St.; E-Keystone Ave.; W-White River    (Boundaries include the parishes of Saint Thomas Aquinas! Saint Joan of Arc!     Immaculate Heart! Christ the King! and Saint Luke.) * May visit one time on or before the 15th of the month and one time after the 15th.,Walk in.,Proof of address; prefer utility bill but will accept other business mail received within the past 60 days,Living within boundaries: N-96th St.; S-34th St.; E-Keystone Ave.; W-White River    (Boundaries include the parishes of Saint Thomas Aquinas! Saint Joan of Arc!     Immaculate Heart! Christ the King! and Saint Luke.)
27879,24753,NULL,Provides a monthly food pantry open to all in need.,Monthly last Sat 10am-noon ET,Open,Walk in; use entry at back of church (east side)! enter through double doors in middle of church.,Photo ID,Marion County
29245,25736,FEED THE NEED,Provides nonperishable food for persons in need. Open service area; limit one visit every two weeks.,Wed 10am-noon ET,Not already visited this pantry during the past 2 weeks,Walk in; pantry is at the rear entrance.,Photo ID,NULL
29867,26469,NULL,Provides perishable and nonperishable food to persons in need. Limited service area.,Monthly 2nd and 4th Wed 9am-11am ET,* Living in zip code 46218* Limit one visit per month,Walk in.,Proof of address,46218
30688,27033,NULL,Provides nonperishable food to persons in need. Limited service area.,Monthly 1st Thurs 5:45pm-6:45pm ET,Living in zip code 46205! 46218! or 46220 in Marion County,Walk in.,Photo ID  -OR- Mail with name and current address,NULL
33225,28850,NULL,Provides perishable and nonperishable food to persons in need. Clients make their own selection from available items. Limited service area.,Thurs 1:30pm-4:30pm ET,Living in Marion County,Walk in during pantry hours.,* Photo ID * Bags for food,Marion County
36363,31304,NULL,Provides nonperishable food to people in need. Open service area.,Monthly 3rd Thurs 4:15-5:15pm ET,Open,Walk in; pantry entrance and parking are located at the rear of the building.,Nothing needed,Marion
36686,31519,NULL,Provides perishable and nonperishable food as well as clothing (baby through adult sizes) to people in need. Open service area.,Monthly 1st and 3rd Wed 7:15pm-8:45pm ET,Open,Walk in.,Proof of address,Marion County
3645,32812,PANTRY OF HOPE,Provides food monthly for persons in need. Limit of one bag per household. Open service area.,Sept through May:   Monthly 3rd Sat 2pm-3pm ET or before if food is gone.,Open,Walk in; complete brief intake at first visit.,Photo ID,NULL
39632,34317,NULL,Provides food to persons in need twice weekly. Accepts donations for the food pantry and other outreach programs.,Tues and Thurs 9:15am-10:30am ET,Persons in need,Walk in during pantry hours; sign-up begins at 9am ET,Nothing needed,NULL
39705,34818,PANTRY OF FAITH,Offers perishable and nonperishable food to persons in need. Open service area.,Monthly 3rd Sat 10am-noon ET,Open,Walk in during pantry hours; complete a short intake form at each visit.,Nothing needed,NULL
40710,35276,NULL,Provides nonperishable food to persons in need. Toiletries and hygiene products are usually available. Open service area.,Phone/Scheduling: Mon-Fri 9am-5pm ETPantry: By appointment,Open,Call to schedule an appointment.,Photo ID,Open service area
41097,35729,NULL,Provides clothing and nonperishable food to persons in need. Adults' and children's clothing is always available; limited to three bags per household per visit.,3rd Sat 10am-noon ET,Open,Walk in.,Photo ID! if available,Marion County
28346,37782,NULL,Provides food and donated clothing to persons in need. Available items vary based on donations received. Open service area.,Mon 4pm-6pm; Fri 2pm-4pm; Sat 10am-noon ET,Limit one visit per month,* Walk in to receive food and choose clothing.* To donate food or clothing! drop off during pantry hours,* Photo ID* Birth certificate! social security card! or other form of ID for all members of the household  (such as birth certificate! social security card! Medicaid card! etc.),NULL
42815,37841,NULL,Provides perishable and nonperishable food monthly to persons in need. Limited service area. ,Monthly 2nd and 4th Sat noon-2pm ET (or before if food is gone)    * Except Nov and Dec 3rd Sat,Living in Marion County,Walk in; complete a brief intake at first visit and every 6 months thereafter.,Proof of address (such as photo ID! utility bill! or other business mail),NULL
39705,37895,COMMUNITY MISSIONAL FOOD PANTRY,Offers perishable and nonperishable food to persons in need once per month. Open service area.,Monthly 2nd Thurs 1:30pm-3pm ET; (or before if food is gone),Open,Walk in.,Photo IDProof of address! (such as recent utility bill),Marion County
43014,37999,JOSEPH PLAN FOOD PANTRY,Provides perishable and nonperishable food to people in need. This pantry also offers clients various life-skills classes! including nutrition! cooking! and budgeting. Details are available at the pantry. Limited service area.,Monthly 1st Sat 11am-2pm ET * Except July and Aug 2nd Sat,Living within boundaries: N-71st St./Westlane Rd.; S-62nd St./Michigan Rd./64th St.;E-Grandview St.; W-Guion Rd.,Walk in,* Photo ID* Food Pantry Card (provided at 2nd visit),Living within boundaries: N-71st St./Westlane Rd.; S-62nd St./Michigan Rd./64th St.;   E-Grandview St.; W-Guion Rd. in Marion County
43487,38517,NULL,Provides food! hygiene items! and paper products to people in need. Clients make their own selection from available items. Limit one visit per month; limited service area.,Wed 2pm-6pm; Thurs 3pm-6pm; Fri 10:30am-12:30pm and 2pm-4pm; and monthly 2nd Sat 10am-1pm ET,* Living in Pike Township of Marion County  -OR- addresses west of Ditch Rd./Grandview Dr. (in Washington Township of Marion County)* Limit one visit per month,Walk in.,* Photo ID* Proof of address; (such as recent utility bill or other official mail),NULL
43850,38857,NORTHSIDE FOOD PANTRY,Offers perishable and nonperishable food! personal hygiene items! and cleaning supplies to persons in need. Clients make their own selection from available items and may visit the pantry twice per month. Limited service area.,Tues 12:30pm-3pm; Wed 4pm-6:30pm; Thurs and Sat 10am-noon ET,* Living in Washington Township of Marion County* Limit of two visits per month,Walk in.,* Photo ID* Proof of address in the form of a signed lease agreement OR recent business mail,Washington Township in Marion County
44776,39712,NULL,Provides perishable and nonperishable food to persons in need. Sometimes has gently used clothing. Open service area.,Monthly 3rd Mon 1pm-3pm ET,Open,Walk in using west entrance; pantry is in the basement.,Photo ID (preferred) or proof of address (recent utility bill preferred),NULL
45375,40179,NULL,Provides perishable and nonperishable food monthly to people in need. Clients make their own selection from available items. Limited service area.,Monthly 3rd Thurs 5:30pm-7pm ET,Living in zip code 46254! 46260! or 46268 in Marion County,Walk in to Fellowship Hall; (yellow building behind the church.),* Photo ID * Proof of address (such as utility bill),NULL
4651,40229,NULL,Provides perishable and nonperishable food to persons in need. Clients make their own selection from available items. Open service area.,Tues! Wed! and Sat 10am-3pm; Thurs 2pm-7pm ET,Open; limit one visit per calendar week,Walk in; no delivery available.,Proof of Indiana address,Hendricks County! Johnson County! Marion County! and Morgan County
45478,40273,NULL,Provides perishable and nonperishable food for persons in need. Toilet paper and bar soap is usually available. Open service area.,Mon and Fri 2pm-5pm; Tues 9am-noon ET,Open; not used this pantry within past 30 days; limit six visits per year,Walk in.,* State-issued photo ID* Social Security cards for all household members* Recent business mail with name and address,Marion County
45988,40684,COMMUNITY CUPBOARD OF LAWRENCE,Provides perishable and nonperishable food to persons in need. Clients make their own selection from available items. Limited service area.,Wed 10am-4pm and 6pm-8pm; Fri 10am-4pm ET,* Living in Lawrence Township of Marion County* Limit one visit per month,Walk in.,Mail (with name) dated within past 60 days (such as utility bill! bank statement! government mail),NULL
46244,40847,NULL,Provides perishable and nonperishable food to people in need. Clients make their own selection from available items. Limited service area.,Monthly 2nd and 4th Tues 9am-11am ET,Living in zip code 46205! 46218! or 462226,Walk in (no smoking permitted on church property).,Proof of address (such as recent mail or lease),NULL
47249,41811,NULL,Provides food and clothing monthly to people in need. Clients make their own selection from available items. A warm breakfast is also available during this time. Open service area.,Monthly 3rd Sat 9am-11am ET,Open,Walk in,Nothing needed,NULL
47332,41897,NULL,Provides perishable and nonperishable food to people in need. Limited service area.,Monthly 2nd and last Wed 2pm-5pm ET,Living in Marion County,Walk in.,Nothing needed,NULL
47441,42016,NULL,Provides nonperishable food! baby food! and paper goods to people in need. Clients may make their own selection from available items.  Limited service area. ,Pantry: Monthly 4th Sat 9am-11amETPhone: Mon-Fri 9am-5pm ET,Living in zip codes 46123! 46168! 46214! 46222! 46224! 46231! 46234! or  46241,Call ahead to confirm food is available. (Pantry is the last door at the rear of the church; bring bags for food.),* State-issued photo ID* Proof of current address,46123! 46168! 46214! 46222! 46224! 46231! 46234! or  46241
47437,42017,NULL,Provides perishable and nonperishable food and hygiene supplies to Marion County persons in need. Diapers are usually available. Limited service area.,Monthly 2nd Thurs 6:30pm-8pm ET,Living in Marion County,Walk in.,* State-issued photo ID* Proof of current address,Marion County
4651,42038,SENIOR SHOPPING DAY,Provides perishable and nonperishable food to seniors! ages 55 and older. Clients make their own selection from available items. Open service area.,Monthly 3rd Mon 10am-noon ET,Age 55 or older,Walk in; bring bags to carry food.,* Proof of age* Proof of address,Hendricks County! Johnson County! Marion County! and Morgan County
47579,42132,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47728,42277,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47731,42279,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47886,42410,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48073,42593,INDY FIRST NAZ FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
1157,42797,SENIOR SHOPPING DAY,NULL,NULL,NULL,NULL,NULL,NULL
43487,42841,SENIOR FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
48502,42974,LUTS FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
48507,42978,YOU FEED THEM MISSIONAL FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
48837,43298,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48899,43355,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48920,43366,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49160,43530,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49906,44135,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49954,44159,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50242,44367,IMCA FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
50309,44422,THE ROCK FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
